Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
0.000,0.000,NA(uncore),NA(DRAM),3500.000J,0.000J,12:04:49.101545
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
514.024,485.982,NA(uncore),NA(DRAM),3500.000J,514.024J,12:05:19.101739
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
962.291,903.929,NA(uncore),NA(DRAM),3500.000J,962.291J,12:05:49.102090
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
1410.768,1323.564,NA(uncore),NA(DRAM),3500.000J,1410.768J,12:06:19.102357
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
1859.565,1747.765,NA(uncore),NA(DRAM),3500.000J,1859.565J,12:06:49.120395
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
2308.319,2169.256,NA(uncore),NA(DRAM),3500.000J,2308.319J,12:07:19.128524
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
2756.653,2592.183,NA(uncore),NA(DRAM),3500.000J,2756.653J,12:07:49.128922
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
3205.021,3015.365,NA(uncore),NA(DRAM),3500.000J,3205.021J,12:08:19.129377
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
3653.545,3437.632,NA(uncore),NA(DRAM),3500.000J,3653.545J,12:08:49.130525
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
4101.943,3860.283,NA(uncore),NA(DRAM),3500.000J,4101.943J,12:09:19.130810
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
4550.420,4284.603,NA(uncore),NA(DRAM),3500.000J,4550.420J,12:09:49.131105
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
4998.948,4708.973,NA(uncore),NA(DRAM),3500.000J,4998.948J,12:10:19.131464
------------------------------------------------------------------------------------------------------- 
