Benchmark,Package,CPU,GPU,DRAM?,Threshold,Actual,TotalTime(Sec),RecordedAt(timestamp)
binary-trees,968.930,902.557,NA(uncore),NA(DRAM),700.000J,968.930J,51.610,11:58:54.595476
binary-trees,975.142,908.278,NA(uncore),NA(DRAM),700.000J,975.142J,54.701,12:02:34.356402
binary-trees,856.486,795.337,NA(uncore),NA(DRAM),700.000J,856.486J,51.212,12:03:37.431509
binary-trees,938.583,879.473,NA(uncore),NA(DRAM),700.000J,938.583J,49.499,12:05:37.672267
k-nucleotide,2303.997,2121.499,NA(uncore),NA(DRAM),1900.000J,2303.997J,139.951,12:09:54.268753
k-nucleotide,2197.688,2030.055,NA(uncore),NA(DRAM),1900.000J,2197.688J,135.539,12:12:43.507870
mandelbrot,4678.725,4350.743,NA(uncore),NA(DRAM),3500.000J,4678.725J,296.711,12:46:50.946901
mandelbrot,4626.747,4292.065,NA(uncore),NA(DRAM),3500.000J,4626.747J,300.381,12:52:08.723008
binary-trees,1007.070,940.154,NA(uncore),NA(DRAM),700.000J,1007.070J,55.008,12:43:56.547524
k-nucleotide,2283.102,2113.237,NA(uncore),NA(DRAM),1900.000J,2283.102J,138.446,12:57:50.634914
mandelbrot,4688.008,4426.715,NA(uncore),NA(DRAM),3500.000J,4688.008J,297.914,13:19:00.800645
mandelbrot,5167.371,4868.209,NA(uncore),NA(DRAM),3500.000J,5167.371J,341.292,12:10:30.393005
binary-trees,962.690,904.344,NA(uncore),NA(DRAM),700.000J,962.690J,50.562,18:53:28.334676
binary-trees,1052.234,980.681,NA(uncore),NA(DRAM),700.000J,1052.234J,58.846,17:57:21.107593
